
RAxML-NG v. 0.8.0 BETA released on 11.01.2019 by The Exelixis Lab.
Authors: Alexey Kozlov, Alexandros Stamatakis, Diego Darriba, Tomas Flouri, Benoit Morel.
Latest version: https://github.com/amkozlov/raxml-ng
Questions/problems/suggestions? Please visit: https://groups.google.com/forum/#!forum/raxml

WARNING: This is a BETA release, please use at your own risk!

RAxML-NG was called at 25-Apr-2019 17:41:52 as follows:

raxml-ng --bootstrap --msa Tolkien_concat_align_protossOG.txt --outgroup Protoss_OG --model MULTI6_MK --bs-trees 1000 --prefix BootstrapConcat_OG_P --threads 1 --seed 2

Analysis options:
  run mode: Bootstrapping
  start tree(s): 
  bootstrap replicates: 1000
  random seed: 2
  tip-inner: OFF
  pattern compression: ON
  per-rate scalers: OFF
  site repeats: ON
  branch lengths: proportional (ML estimate, algorithm: NR-FAST)
  SIMD kernels: AVX
  parallelization: NONE/sequential

[00:00:00] Reading alignment from file: Tolkien_concat_align_protossOG.txt
[00:00:00] Loaded alignment with 33 taxa and 70 sites

Alignment comprises 1 partitions and 62 patterns

Partition 0: noname
Model: MULTI6_MK
Alignment sites / patterns: 70 / 62
Gaps: 0.00 %
Invariant sites: 1.43 %


NOTE: Binary MSA file created: BootstrapConcat_OG_P.raxml.rba
[00:02:08] Bootstrap tree #148, logLikelihood: -1861.601367
[00:02:09] Bootstrap tree #149, logLikelihood: -2086.340827
[00:02:10] Bootstrap tree #150, logLikelihood: -2153.589968
[00:02:11] Bootstrap tree #151, logLikelihood: -2168.701713
[00:02:12] Bootstrap tree #152, logLikelihood: -2162.257087
[00:02:13] Bootstrap tree #153, logLikelihood: -2028.294067
[00:02:14] Bootstrap tree #154, logLikelihood: -2154.903501
[00:02:16] Bootstrap tree #155, logLikelihood: -2229.578392
[00:02:16] Bootstrap tree #156, logLikelihood: -2106.318690
[00:02:17] Bootstrap tree #157, logLikelihood: -2073.743972
[00:02:18] Bootstrap tree #158, logLikelihood: -2021.498630
[00:02:20] Bootstrap tree #159, logLikelihood: -2027.881132
[00:02:21] Bootstrap tree #160, logLikelihood: -1982.215221
[00:02:21] Bootstrap tree #161, logLikelihood: -1825.978760
[00:02:22] Bootstrap tree #162, logLikelihood: -2171.648401
[00:02:23] Bootstrap tree #163, logLikelihood: -2094.748162
[00:02:24] Bootstrap tree #164, logLikelihood: -2151.173663
[00:02:25] Bootstrap tree #165, logLikelihood: -2101.944458
[00:02:26] Bootstrap tree #166, logLikelihood: -2047.169432
[00:02:27] Bootstrap tree #167, logLikelihood: -1886.015878
[00:02:27] Bootstrap tree #168, logLikelihood: -1968.783335
[00:02:28] Bootstrap tree #169, logLikelihood: -2020.630253
[00:02:29] Bootstrap tree #170, logLikelihood: -2065.122481
[00:02:29] Bootstrap tree #171, logLikelihood: -2108.908796
[00:02:30] Bootstrap tree #172, logLikelihood: -2269.207450
[00:02:31] Bootstrap tree #173, logLikelihood: -2153.888996
