
RAxML-NG v. 0.8.0 BETA released on 11.01.2019 by The Exelixis Lab.
Authors: Alexey Kozlov, Alexandros Stamatakis, Diego Darriba, Tomas Flouri, Benoit Morel.
Latest version: https://github.com/amkozlov/raxml-ng
Questions/problems/suggestions? Please visit: https://groups.google.com/forum/#!forum/raxml

WARNING: This is a BETA release, please use at your own risk!

RAxML-NG was called at 18-Apr-2019 05:03:38 as follows:

raxml-ng --bootstrap --msa Tolkien_arche_align_zergOG.txt --outgroup Zerg_OG --model MULTI7_MK --bs-trees 1000 --prefix BootstrapArcheZergOG --threads 1 --seed 2

Analysis options:
  run mode: Bootstrapping
  start tree(s): 
  bootstrap replicates: 1000
  random seed: 2
  tip-inner: OFF
  pattern compression: ON
  per-rate scalers: OFF
  site repeats: ON
  branch lengths: proportional (ML estimate, algorithm: NR-FAST)
  SIMD kernels: AVX
  parallelization: NONE/sequential

[00:00:00] Reading alignment from file: Tolkien_arche_align_zergOG.txt
[00:00:00] Loaded alignment with 33 taxa and 18 sites

Alignment comprises 1 partitions and 18 patterns

Partition 0: noname
Model: MULTI7_MK
Alignment sites / patterns: 18 / 18
Gaps: 0.00 %
Invariant sites: 0.00 %


NOTE: Binary MSA file created: BootstrapArcheZergOG.raxml.rba
[00:01:51] Bootstrap tree #188, logLikelihood: -618.411450
[00:01:52] Bootstrap tree #189, logLikelihood: -576.424102
[00:01:52] Bootstrap tree #190, logLikelihood: -541.309997
[00:01:53] Bootstrap tree #191, logLikelihood: -615.804582
[00:01:54] Bootstrap tree #192, logLikelihood: -614.355586
[00:01:54] Bootstrap tree #193, logLikelihood: -613.053759
[00:01:55] Bootstrap tree #194, logLikelihood: -611.661557
[00:01:56] Bootstrap tree #195, logLikelihood: -610.342161
[00:01:56] Bootstrap tree #196, logLikelihood: -537.879608
[00:01:57] Bootstrap tree #197, logLikelihood: -612.897346
[00:01:57] Bootstrap tree #198, logLikelihood: -559.106383
[00:01:58] Bootstrap tree #199, logLikelihood: -598.511603
[00:01:59] Bootstrap tree #200, logLikelihood: -595.589547
[00:01:59] Bootstrap tree #201, logLikelihood: -568.240168
[00:02:00] Bootstrap tree #202, logLikelihood: -591.041574
[00:02:00] Bootstrap tree #203, logLikelihood: -611.038906
[00:02:01] Bootstrap tree #204, logLikelihood: -550.775905
[00:02:02] Bootstrap tree #205, logLikelihood: -570.257608
[00:02:03] Bootstrap tree #206, logLikelihood: -540.416172
[00:02:03] Bootstrap tree #207, logLikelihood: -551.624315
[00:02:04] Bootstrap tree #208, logLikelihood: -547.706958
[00:02:04] Bootstrap tree #209, logLikelihood: -603.068938
[00:02:05] Bootstrap tree #210, logLikelihood: -544.968675
[00:02:05] Bootstrap tree #211, logLikelihood: -597.938126
[00:02:06] Bootstrap tree #212, logLikelihood: -580.622588
[00:02:06] Bootstrap tree #213, logLikelihood: -579.123767
[00:02:07] Bootstrap tree #214, logLikelihood: -587.362775
[00:02:07] Bootstrap tree #215, logLikelihood: -538.460040
[00:02:08] Bootstrap tree #216, logLikelihood: -577.628340
[00:02:08] Bootstrap tree #217, logLikelihood: -565.539474
[00:02:09] Bootstrap tree #218, logLikelihood: -553.165936
[00:02:10] Bootstrap tree #219, logLikelihood: -540.813756
[00:02:10] Bootstrap tree #220, logLikelihood: -555.191638
[00:02:11] Bootstrap tree #221, logLikelihood: -575.295345
[00:02:11] Bootstrap tree #222, logLikelihood: -529.419821
[00:02:12] Bootstrap tree #223, logLikelihood: -591.931566
[00:02:12] Bootstrap tree #224, logLikelihood: -578.974466
[00:02:13] Bootstrap tree #225, logLikelihood: -570.733103
[00:02:14] Bootstrap tree #226, logLikelihood: -591.781322
[00:02:14] Bootstrap tree #227, logLikelihood: -585.265771
[00:02:15] Bootstrap tree #228, logLikelihood: -612.299246
[00:02:15] Bootstrap tree #229, logLikelihood: -576.170629
