
RAxML-NG v. 0.8.0 BETA released on 11.01.2019 by The Exelixis Lab.
Authors: Alexey Kozlov, Alexandros Stamatakis, Diego Darriba, Tomas Flouri, Benoit Morel.
Latest version: https://github.com/amkozlov/raxml-ng
Questions/problems/suggestions? Please visit: https://groups.google.com/forum/#!forum/raxml

WARNING: This is a BETA release, please use at your own risk!

RAxML-NG was called at 18-Apr-2019 03:44:37 as follows:

raxml-ng --bootstrap --msa Tolkien_concat_align.txt --outgroup Zerg_OG,Tyranids_OG,Xenomorphs_OG --model MULTI8_MK --bs-trees 1000 --prefix BootstrapConcat --threads 1 --seed 2

Analysis options:
  run mode: Bootstrapping
  start tree(s): 
  bootstrap replicates: 1000
  random seed: 2
  tip-inner: OFF
  pattern compression: ON
  per-rate scalers: OFF
  site repeats: ON
  branch lengths: proportional (ML estimate, algorithm: NR-FAST)
  SIMD kernels: AVX
  parallelization: NONE/sequential

[00:00:00] Reading alignment from file: Tolkien_concat_align.txt
[00:00:00] Loaded alignment with 36 taxa and 70 sites

Alignment comprises 1 partitions and 68 patterns

Partition 0: noname
Model: MULTI8_MK
Alignment sites / patterns: 70 / 68
Gaps: 0.00 %
Invariant sites: 0.00 %


NOTE: Binary MSA file created: BootstrapConcat.raxml.rba
[00:03:13] Bootstrap tree #154, logLikelihood: -2535.988809
[00:03:14] Bootstrap tree #155, logLikelihood: -2624.179833
[00:03:15] Bootstrap tree #156, logLikelihood: -2491.007725
[00:03:16] Bootstrap tree #157, logLikelihood: -2469.663828
[00:03:17] Bootstrap tree #158, logLikelihood: -2408.660409
[00:03:18] Bootstrap tree #159, logLikelihood: -2388.215178
[00:03:19] Bootstrap tree #160, logLikelihood: -2357.045611
[00:03:20] Bootstrap tree #161, logLikelihood: -2171.096448
[00:03:21] Bootstrap tree #162, logLikelihood: -2576.960032
[00:03:22] Bootstrap tree #163, logLikelihood: -2470.220542
[00:03:24] Bootstrap tree #164, logLikelihood: -2522.109875
[00:03:25] Bootstrap tree #165, logLikelihood: -2499.978737
[00:03:26] Bootstrap tree #166, logLikelihood: -2417.582104
[00:03:27] Bootstrap tree #167, logLikelihood: -2262.745828
[00:03:29] Bootstrap tree #168, logLikelihood: -2351.778255
[00:03:30] Bootstrap tree #169, logLikelihood: -2391.900162
[00:03:31] Bootstrap tree #170, logLikelihood: -2499.697819
[00:03:32] Bootstrap tree #171, logLikelihood: -2494.586494
[00:03:34] Bootstrap tree #172, logLikelihood: -2685.466133
[00:03:35] Bootstrap tree #173, logLikelihood: -2588.295493
[00:03:36] Bootstrap tree #174, logLikelihood: -2409.306185
[00:03:37] Bootstrap tree #175, logLikelihood: -2413.260316
[00:03:39] Bootstrap tree #176, logLikelihood: -2561.424282
[00:03:40] Bootstrap tree #177, logLikelihood: -2660.378121
[00:03:41] Bootstrap tree #178, logLikelihood: -2403.608499
[00:03:42] Bootstrap tree #179, logLikelihood: -2576.573948
[00:03:44] Bootstrap tree #180, logLikelihood: -2534.584020
[00:03:45] Bootstrap tree #181, logLikelihood: -2384.927591
[00:03:46] Bootstrap tree #182, logLikelihood: -2365.370687
[00:03:48] Bootstrap tree #183, logLikelihood: -2422.349103
[00:03:49] Bootstrap tree #184, logLikelihood: -2246.150503
[00:03:51] Bootstrap tree #185, logLikelihood: -2640.249386
[00:03:53] Bootstrap tree #186, logLikelihood: -2596.921622
[00:03:55] Bootstrap tree #187, logLikelihood: -2643.349946
[00:03:56] Bootstrap tree #188, logLikelihood: -2324.646110
[00:03:57] Bootstrap tree #189, logLikelihood: -2522.442521
[00:03:58] Bootstrap tree #190, logLikelihood: -2461.055514
[00:03:59] Bootstrap tree #191, logLikelihood: -2355.009861
[00:04:01] Bootstrap tree #192, logLikelihood: -2395.459206
[00:04:02] Bootstrap tree #193, logLikelihood: -2290.115724
[00:04:03] Bootstrap tree #194, logLikelihood: -2596.549491
[00:04:04] Bootstrap tree #195, logLikelihood: -2416.295143
[00:04:05] Bootstrap tree #196, logLikelihood: -2407.623151
[00:04:06] Bootstrap tree #197, logLikelihood: -2444.815541
[00:04:08] Bootstrap tree #198, logLikelihood: -2655.545004
[00:04:09] Bootstrap tree #199, logLikelihood: -2301.695137
[00:04:11] Bootstrap tree #200, logLikelihood: -2462.734681
[00:04:12] Bootstrap tree #201, logLikelihood: -2635.605541
[00:04:14] Bootstrap tree #202, logLikelihood: -2629.843918
[00:04:16] Bootstrap tree #203, logLikelihood: -2377.818571
[00:04:16] Bootstrap tree #204, logLikelihood: -2469.135631
[00:04:17] Bootstrap tree #205, logLikelihood: -2502.394484
[00:04:18] Bootstrap tree #206, logLikelihood: -2260.173895
[00:04:19] Bootstrap tree #207, logLikelihood: -2370.769728
[00:04:21] Bootstrap tree #208, logLikelihood: -2550.098076
[00:04:22] Bootstrap tree #209, logLikelihood: -2357.480151
[00:04:24] Bootstrap tree #210, logLikelihood: -2560.413221
[00:04:25] Bootstrap tree #211, logLikelihood: -2512.000191
[00:04:26] Bootstrap tree #212, logLikelihood: -2422.980147
[00:04:27] Bootstrap tree #213, logLikelihood: -2528.322038
[00:04:28] Bootstrap tree #214, logLikelihood: -2294.719366
[00:04:29] Bootstrap tree #215, logLikelihood: -2531.252656
[00:04:30] Bootstrap tree #216, logLikelihood: -2402.319787
[00:04:32] Bootstrap tree #217, logLikelihood: -1977.533410
[00:04:34] Bootstrap tree #218, logLikelihood: -2681.234026
[00:04:35] Bootstrap tree #219, logLikelihood: -2577.365855
[00:04:37] Bootstrap tree #220, logLikelihood: -2404.217408
[00:04:38] Bootstrap tree #221, logLikelihood: -2496.024246
[00:04:39] Bootstrap tree #222, logLikelihood: -2444.995101
[00:04:40] Bootstrap tree #223, logLikelihood: -2477.807481
[00:04:41] Bootstrap tree #224, logLikelihood: -2485.928717
[00:04:43] Bootstrap tree #225, logLikelihood: -2585.831602
[00:04:44] Bootstrap tree #226, logLikelihood: -2428.616758
[00:04:45] Bootstrap tree #227, logLikelihood: -2580.310257
[00:04:47] Bootstrap tree #228, logLikelihood: -2523.238007
[00:04:48] Bootstrap tree #229, logLikelihood: -2603.364962
[00:04:50] Bootstrap tree #230, logLikelihood: -2595.567888
[00:04:52] Bootstrap tree #231, logLikelihood: -2445.987483
[00:04:54] Bootstrap tree #232, logLikelihood: -2339.382308
[00:04:55] Bootstrap tree #233, logLikelihood: -2458.260598
[00:04:57] Bootstrap tree #234, logLikelihood: -2536.187712
[00:04:58] Bootstrap tree #235, logLikelihood: -2593.789186
[00:05:01] Bootstrap tree #236, logLikelihood: -2441.211042
[00:05:02] Bootstrap tree #237, logLikelihood: -2456.382673
[00:05:03] Bootstrap tree #238, logLikelihood: -2447.025701
[00:05:04] Bootstrap tree #239, logLikelihood: -2468.937908
[00:05:06] Bootstrap tree #240, logLikelihood: -2585.125715
[00:05:07] Bootstrap tree #241, logLikelihood: -2712.695537
[00:05:08] Bootstrap tree #242, logLikelihood: -2613.131957
[00:05:09] Bootstrap tree #243, logLikelihood: -2484.692330
[00:05:10] Bootstrap tree #244, logLikelihood: -2227.070781
[00:05:12] Bootstrap tree #245, logLikelihood: -2250.960016
[00:05:13] Bootstrap tree #246, logLikelihood: -2440.648907
[00:05:14] Bootstrap tree #247, logLikelihood: -2273.607464
[00:05:14] Bootstrap tree #248, logLikelihood: -2332.608108
[00:05:16] Bootstrap tree #249, logLikelihood: -2436.855409
[00:05:17] Bootstrap tree #250, logLikelihood: -2540.545732
[00:05:19] Bootstrap tree #251, logLikelihood: -2605.373208
[00:05:21] Bootstrap tree #252, logLikelihood: -2347.280118
[00:05:22] Bootstrap tree #253, logLikelihood: -2398.695463
[00:05:23] Bootstrap tree #254, logLikelihood: -2564.425035
[00:05:24] Bootstrap tree #255, logLikelihood: -2519.936046
[00:05:25] Bootstrap tree #256, logLikelihood: -2295.669875
[00:05:26] Bootstrap tree #257, logLikelihood: -2548.654843
[00:05:28] Bootstrap tree #258, logLikelihood: -2605.634153
[00:05:29] Bootstrap tree #259, logLikelihood: -2556.407959
[00:05:31] Bootstrap tree #260, logLikelihood: -2369.309076
[00:05:32] Bootstrap tree #261, logLikelihood: -2414.679113
[00:05:34] Bootstrap tree #262, logLikelihood: -2554.245917
[00:05:35] Bootstrap tree #263, logLikelihood: -2594.564585
[00:05:36] Bootstrap tree #264, logLikelihood: -2160.560525
[00:05:37] Bootstrap tree #265, logLikelihood: -2425.860994
[00:05:39] Bootstrap tree #266, logLikelihood: -2461.392295
[00:05:40] Bootstrap tree #267, logLikelihood: -2436.055972
[00:05:41] Bootstrap tree #268, logLikelihood: -2645.617959
